PlotNumber,PlotId,Parameter, Year, Range
2,AEG02,rH_200,2009,01-03
3,AEG03,rH_200,2009,01-03
11,AEG11,rH_200,2009,01-10
9,AEG09,rH_200,2009,4
26,AEG26,rH_200,2009,11-12
28,AEG28,rH_200,2009,12
33,AEG33,rH_200,2009,12
39,AEG39,rH_200,2009,10-12
49,AEG49,rH_200,2009,09-12
10,AEG10,rH_200,2010,01-12
26,AEG26,rH_200,2010,01-12
28,AEG28,rH_200,2010,01-12
40,AEG40,rH_200,2010,01-12
3,AEG03,rH_200,2011,01-04
7,AEG07,rH_200,2011,08-12
10,AEG10,rH_200,2011,01-12
27,AEG27,rH_200,2011,2
47,AEG47,rH_200,2011,05-12
3,AEG03,rH_200,2012,04-12
7,AEG07,rH_200,2012,01-12
12,AEG12,rH_200,2012,10-12
9,AEG09,rH_200,2012,11-12
19,AEG19,rH_200,2012,04-12
37,AEG37,rH_200,2012,01-12
40,AEG40,rH_200,2012,01-03
40,AEG40,rH_200,2012,12
46,AEG46,rH_200,2012,08-12
48,AEG48,rH_200,2012,02-04
20,AEG20,Ta_10,2009,03-04
31,AEG31,Ta_10,2009,10-12
12,AEG12,Ta_10,2010,10
41,AEG41,Ta_10,2010,06-08
47,AEG47,Ta_10,2010,06-12
12,AEG12,Ta_10,2011,11-12
20,AEG20,Ta_10,2011,01-12
41,AEG41,Ta_10,2011,10-12
47,AEG47,Ta_10,2011,01-12
49,AEG49,Ta_10,2011,01-12
12,AEG12,Ta_10,2012,01-12
24,AEG24,Ta_10,2012,01-12
49,AEG49,Ta_10,2012,01-12
5,AEG05,Ta_200,2009,4
9,AEG09,Ta_200,2009,04-06
15,AEG15,Ta_200,2009,04-06
33,AEG33,Ta_200,2009,09-12
39,AEG39,Ta_200,2009,08-12
10,AEG10,Ta_200,2010,01-12
22,AEG22,Ta_200,2010,10-12
26,AEG26,Ta_200,2010,01-12
38,AEG38,Ta_200,2010,07-12
10,AEG10,Ta_200,2011,01-02
22,AEG22,Ta_200,2011,01-12
27,AEG27,Ta_200,2011,03-06
37,AEG37,Ta_200,2011,10-12
19,AEG19,Ta_200,2012,04-12
22,AEG22,Ta_200,2012,01-12
37,AEG37,Ta_200,2012,01-12
6,AEG06,Ts_5,2009,1
18,AEG18,Ts_5,2009,10-12
20,AEG20,Ts_5,2009,01-04
31,AEG31,Ts_5,2009,10-12
12,AEG12,Ts_5,2010,09-11
18,AEG18,Ts_5,2010,01-12
34,AEG34,Ts_5,2010,03-12
41,AEG41,Ts_5,2010,06-08
18,AEG18,Ts_5,2011,01-06
41,AEG41,Ts_5,2011,04-12
47,AEG47,Ts_5,2011,4
49,AEG49,Ts_5,2011,07-12
12,AEG12,Ts_5,2012,01-12
24,AEG24,Ts_5,2012,03-12
41,AEG41,Ts_5,2012,01-04
49,AEG49,Ts_5,2012,01-12
20,AEG20,Ts_10,2009,01-04
31,AEG31,Ts_10,2009,11-12
30,AEG30,Ts_10,2009,07-10
12,AEG12,Ts_10,2010,10
34,AEG34,Ts_10,2010,01-12
41,AEG41,Ts_10,2010,06-08
7,AEG07,Ts_10,2011,5
12,AEG12,Ts_10,2011,11-12
41,AEG41,Ts_10,2011,04-12
43,AEG43,Ts_10,2011,1
47,AEG47,Ts_10,2011,03-12
49,AEG49,Ts_10,2011,10-12
12,AEG12,Ts_10,2012,01-12
16,AEG16,Ts_10,2012,1
20,AEG20,Ts_10,2012,01-12
24,AEG24,Ts_10,2012,06-12
41,AEG41,Ts_10,2012,01-12
43,AEG43,Ts_10,2012,01-02
43,AEG43,Ts_10,2012,12
44,AEG44,Ts_10,2012,1
49,AEG49,Ts_10,2012,01-12
20,AEG20,Ts_20,2009,02-04
31,AEG31,Ts_20,2009,11-12
43,AEG43,Ts_20,2009,11-12
49,AEG49,Ts_20,2009,11-12
12,AEG12,Ts_20,2010,08-12
16,AEG16,Ts_20,2010,12
20,AEG20,Ts_20,2010,11-12
21,AEG21,Ts_20,2010,1
